station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
VIS;03.02.2025 00:00;-0.6;7.1;-5.4;-2.8;10.4;-7.8;72.9;4.1;949.8;;1518.4;;1025.1;0.7;2.5;2.5;9;2.4;8.6;0;0;0;;95;;;;19;330;100;0.5;0;162;20.6;12.6;-0.3
VIS;04.02.2025 00:00;-0.5;8;-6.4;-2.5;11.6;-8.8;74.5;4.2;952.7;;1542.8;;1028.2;0.9;4.9;3.2;17.6;4.8;17.3;0;0;0;;104;;;;19;352;100;0.6;0;207;20.5;12.5;-0.3
VIS;05.02.2025 00:00;-0.5;8.1;-6.2;-2.5;10.9;-8.7;73.9;4.2;957.8;;1584.7;;1033.7;0.8;4.6;2.9;16.6;4.5;16.2;0;0;0;;109;;;;21;376;100;0.6;0;225;20.5;12.5;-0.3
VIS;06.02.2025 00:00;-1.2;4.7;-6.5;-2.3;7.7;-8.9;80.3;4.4;954.9;;1558.6;;1030.6;1.3;6.5;4.7;23.4;6.3;22.7;0;0;0;;113;;;;22;385;100;0.6;0;259;21.2;13.2;-0.2
VIS;07.02.2025 00:00;4.4;9.6;-4.7;3.3;11.1;-5.7;49.1;3.7;947.8;;1518.8;;1023.1;7.9;18.8;28.4;67.7;18;64.8;1060;0;0;;89;;;;52;229;59;2.4;0;107;15.6;7.6;-0.4
VIS;08.02.2025 00:00;7.7;11.7;4.1;7.1;13.8;2.9;39.8;4.2;946.9;;1521.7;;1022.1;10.7;19.3;38.5;69.5;18.9;68;960;0;0;;104;;;;69;155;39;3.7;0;110;12.3;4.3;-0.4
VIS;09.02.2025 00:00;4.3;10.5;-2.1;3;13.8;-4.6;65.9;5.3;949.2;;1530.4;;1024.6;2.9;13.8;10.4;49.7;13.6;49;50;0;0;;110;;;;32;322;81;1.3;0;214;15.7;7.7;-0.4
VIS;10.02.2025 00:00;5.4;10.9;0.5;4.3;14.1;-1.6;67.4;5.9;947.2;;1517.1;;1022.4;1.5;7.7;5.4;27.7;7.4;26.6;0;0;0;;70;;;;61;20;5;1;0;243;14.6;6.6;-0.1
VIS;11.02.2025 00:00;6.9;11.6;1.5;6.1;13.7;-1.8;67.7;6.6;945.6;;1507.9;;1020.7;2;9.7;7.2;34.9;9.5;34.2;0;0;0;;81;;;;61;92;23;1.1;0;256;13.1;5.1;-0.2
VIS;12.02.2025 00:00;6.7;11.8;3;5.6;16.2;1.7;74.5;7.2;943.2;;1487;;1018.1;1.6;8.5;5.8;30.6;8.3;29.9;0;0;0;;76;;;;64;25;6;1;0;270;13.3;5.3;-0.1
VIS;13.02.2025 00:00;5.8;7.3;3.2;4.7;7.9;0.9;84.4;7.8;941.2;;1466.9;;1016;2.6;12.5;9.4;45;11.9;42.8;0;5.9;5.9;;38;;;;36;0;0;0.7;0;285;14.2;6.2;5.8
VIS;14.02.2025 00:00;2.9;6.9;-3.3;2;11.7;-7.2;53.3;4;941;;1456.1;;1015.8;5.3;18.5;19.1;66.6;17.9;64.4;0;0;0;;151;;;;51;419;95;1.7;0;278;17.1;9.1;-0.7
VIS;15.02.2025 00:00;-0.5;6.4;-6.8;-1.9;11.2;-9.8;58.3;3.3;943.2;;1464.4;;1018.1;1.2;5.3;4.3;19.1;5.2;18.7;0;0;0;;146;;;;24;456;100;0.9;0;124;20.5;12.5;-0.7
VIS;16.02.2025 00:00;2;11;-4.5;0.9;16.2;-7.5;63.1;4.1;939;;1436.8;;1013.7;1.5;9.4;5.4;33.8;9.1;32.8;0;0;0;;163;;;;54;428;94;1.3;0;234;18;10;-0.6
