station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BER;01.01.2011 00:00;9.9;5.2;15.3;0.6;0.5;1.3;9.9;0.1;29;954;1.4;13;1.7;89;789.4;77;156;108;130880;121;3086.2;93.9;1518.2;102;-10.4;32.9;96;45;11;0;8;0
BER;01.01.2012 00:00;9.2;4.4;14;-0.1;-0.3;0;9.8;0;17;952.7;0.1;7;1.9;100;1127.7;110;149;103;114867;107;3524.2;104.1;1748.2;145;-18.5;33.5;94;43;20;0;9;0
BER;01.01.2013 00:00;8.7;4.5;13.1;-0.6;-0.2;-0.9;9.6;-0.2;24;951.6;-1;7;1.8;95;1113;109;143;99;102544;95;3670.3;135.8;1910.3;125;-12.4;34.1;114;46;24;0;11;0
BER;01.01.2014 00:00;10;5.5;14.7;0.7;0.8;0.7;10.2;0.4;17;951.2;-1.4;9;1.6;84;1033.8;101;146;101;109363;101;3000;51.4;1368;132;-13.4;31.3;74;24;2;0;5;0
BER;01.01.2015 00:00;9.9;5;15;0.6;0.3;1;9.7;-0.1;25;954.9;2.3;7;1.8;95;767.8;75;155;107;124618;116;3307.4;228;1571.4;98;-11.9;36.8;99;55;9;0;26;1
BER;01.01.2016 00:00;9.4;5;14;0.1;0.3;0;10;0.2;42;953.1;0.5;12;1.8;95;1056;103;142;98;105586;98;3472.1;136.2;1696.1;126;-14.2;32.2;95;51;7;0;9;0
BER;01.01.2017 00:00;9.6;4.6;14.7;0.3;-0.1;0.7;9.9;0.1;24;954.1;1.5;6;1.8;95;854.1;84;156;108;120378;112;3491;184.7;1667;109;-15.5;33;102;64;19;0;11;0
BER;01.01.2018 00:00;10.5;5.8;15.4;1.2;1.1;1.4;10.4;0.6;26;951.7;-0.9;7;1.9;100;907.1;89;155;107;118126;110;3083.4;178.5;1499.4;113;-14.6;33.3;85;70;13;0;17;0
BER;01.01.2019 00:00;10;5.1;14.9;0.7;0.4;0.9;10;0.2;21;952.3;-0.3;10;1.8;95;999.3;98;154;106;119093;110;3297.1;188;1529.1;122;-9.5;35.4;100;56;6;0;16;1
BER;01.01.2020 00:00;10.3;5.5;15.3;1;0.8;1.3;10.1;0.3;27;953.4;0.8;6;1.9;100;1037.2;102;159;110;129279;120;3113.9;135.2;1425.9;116;-6.4;33.6;91;53;3;0;12;0
BER;01.01.2021 00:00;9.2;4.9;13.8;-0.1;0.2;-0.2;9.7;-0.1;24;953;0.4;8;1.9;100;1136.6;111;150;104;111715;104;3535;83.6;1703;121;-9.9;30.5;108;34;15;0;4;0
BER;01.01.2022 00:00;10.9;5.8;16.1;1.6;1.1;2.1;10.3;0.5;21;953.9;1.3;7;1.8;95;895.1;88;165;114;130183;121;2968.5;205.2;1368.5;115;-9.4;35.1;91;74;6;0;16;1
BER;01.01.2023 00:00;11.1;6.2;16;1.8;1.5;2;10.4;0.6;28;952.3;-0.3;7;1.9;100;1079.9;106;154;106;119598;111;3003.1;236.4;1371.1;132;-14.1;35.1;76;83;10;0;16;1
BER;01.01.2024 00:00;10.6;6.4;15.1;1.3;1.7;1.1;10.9;1.1;23;952.5;-0.1;7;1.7;89;1021.6;100;140;97;92494;86;3028.1;190.5;1364.1;128;-10.7;33;73;55;14;0;10;0
