station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BER;01.01.1905 00:00;7.2;2.3;12.4;-2.1;-2.4;-1.6;;;;;;;;;1261.1;123;;;105750;98;;;;;;;;;;;;
BER;01.01.1906 00:00;7.6;2.6;13.1;-1.7;-2.1;-0.9;;;;;;;;;775.8;76;;;121230;112;;;;;;;;;;;;
BER;01.01.1907 00:00;7.4;2.4;12.5;-1.9;-2.3;-1.5;;;;;;;;;941;92;;;109338;101;;;;;;;;;;;;
BER;01.01.1908 00:00;7;2.2;12.2;-2.3;-2.5;-1.8;;;;;;;;;942.2;92;;;112284;104;;;;;;;;;;;;
BER;01.01.1909 00:00;6.8;1.7;12;-2.5;-3;-2;;;;;;;;;973.5;95;;;110928;103;;;;;;;;;;;;
BER;01.01.1910 00:00;7.4;2.9;12.2;-1.9;-1.8;-1.8;;;;;;;;;1269.2;124;;;98333;91;;;;;;;;;;;;
BER;01.01.1911 00:00;8.4;3;13.7;-0.9;-1.7;-0.3;;;;;;;;;768;75;;;122640;114;;;;;;;;;;;;
BER;01.01.1912 00:00;7.2;2.5;12.1;-2.1;-2.2;-1.9;;;;;;;;;1076;105;;;93546;87;;;;;;;;;;;;
BER;01.01.1913 00:00;7.9;2.9;13;-1.4;-1.8;-1;;;;;;;;;953.6;93;;;93882;87;;;;;;;;;;;;
BER;01.01.1914 00:00;7.3;2.3;12.4;-2;-2.4;-1.6;;;;;;;;;1113.7;109;;;95231;88;;;;;;;;;;;;
BER;01.01.1915 00:00;7.5;2.9;12.2;-1.8;-1.8;-1.8;;;;;;;;;1155.5;113;;;93948;87;;;;;;;;;;;;
BER;01.01.1916 00:00;7.7;3;12.7;-1.6;-1.7;-1.3;;;;;;;;;1272.7;125;;;92657;86;;;;;;;;;;;;
BER;01.01.1917 00:00;6.7;2;11.7;-2.6;-2.7;-2.3;;;;;;;;;946.9;93;;;102684;95;;;;;;;;;;;;
BER;01.01.1918 00:00;7.7;2.6;13.2;-1.6;-2.1;-0.8;;;;;;;;;971.3;95;;;111012;103;;;;;;;;;;;;
BER;01.01.1919 00:00;7.3;2.4;12.2;-2;-2.3;-1.8;;;;;;;;;996.5;98;;;105510;98;;;;;;;;;;;;
BER;01.01.1920 00:00;8.3;2.9;13.3;-1;-1.8;-0.7;;;;;;;;;770.6;75;;;99354;92;;;;;;;;;;;;
BER;01.01.1921 00:00;8.5;2.8;14.3;-0.8;-1.9;0.3;;;;;;;;;725.4;71;;;122597;114;;;;;;;;;;;;
BER;01.01.1922 00:00;7.2;2.2;12.1;-2.1;-2.5;-1.9;;;;;;;;;1309.9;128;;;94367;88;;;;;;;;;;;;
BER;01.01.1923 00:00;8.1;3;13.1;-1.2;-1.7;-0.9;;;;;;;;;1140.8;112;;;102792;95;;;;;;;;;;;;
BER;01.01.1924 00:00;7.2;2.5;11.9;-2.1;-2.2;-2.1;;;;;;;;;885.6;87;;;97715;91;;;;;;;;;;;;
BER;01.01.1925 00:00;7.5;2.8;12.3;-1.8;-1.9;-1.7;;;;;;;;;1012.8;99;;;108569;101;;;;;;;;;;;;
BER;01.01.1926 00:00;8.1;3.3;13.1;-1.2;-1.4;-0.9;;;;;;;;;1024.5;100;;;106506;99;;;;;;;;;;;;
BER;01.01.1927 00:00;7.9;3.2;12.8;-1.4;-1.5;-1.2;;;;;;;;;1147.5;112;;;105714;98;;;;;;;;;;;;
BER;01.01.1928 00:00;8.6;3.6;13.7;-0.7;-1.1;-0.3;;;;;;;;;1027.8;101;;;110376;102;;;;;;;;;;;;
BER;01.01.1929 00:00;7.5;2.3;12.5;-1.8;-2.4;-1.5;;;;;;;;;804.5;79;;;115679;107;;;;;;;;;;;;
BER;01.01.1930 00:00;8.6;4;13.2;-0.7;-0.7;-0.8;;;;;;;;;1291.5;126;;;92988;86;;;;;;;;;;;;
BER;01.01.1931 00:00;7.3;2.4;12.1;-2;-2.3;-1.9;;;;;;;;;1137.6;111;;;104550;97;;;;;;;;;;;;
BER;01.01.1932 00:00;7.5;2.9;12.4;-1.8;-1.8;-1.6;;;;;;;;;957.2;94;;;97806;91;;;;;;;;;;;;
BER;01.01.1933 00:00;7.4;2.7;12.2;-1.9;-2;-1.8;;;;;;;;;838.6;82;;;103638;96;;;;;;;;;;;;
BER;01.01.1934 00:00;8.5;3.6;13.6;-0.8;-1.1;-0.4;;;;;;;;;850.7;83;;;115482;107;;;;;;;;;;;;
BER;01.01.1935 00:00;7.9;3.2;12.7;-1.4;-1.5;-1.3;;;;;;;;;1217.2;119;;;104814;97;;;;;;;;;;;;
BER;01.01.1936 00:00;8.1;3.8;12.5;-1.2;-0.9;-1.5;;;;;;;;;1220.6;119;;;89657;83;;;;;;;;;;;;
BER;01.01.1937 00:00;8.2;3.8;12.7;-1.1;-0.9;-1.3;;;;;;;;;1131.6;111;;;97584;90;;;;;;;;;;;;
BER;01.01.1938 00:00;7.8;3;12.9;-1.5;-1.7;-1.1;;;;;;;;;1018;100;;;116657;108;;;;;;;;;;;;
BER;01.01.1939 00:00;7.4;3.2;11.7;-1.9;-1.5;-2.3;;;;;;;;;1108.9;109;;;83514;77;;;;;;;;;;;;
BER;01.01.1940 00:00;6.9;2.3;11.4;-2.4;-2.4;-2.6;;;;;;;;;1145.8;112;;;97038;90;;;;;;;;;;;;
BER;01.01.1941 00:00;7;2.4;11.6;-2.3;-2.3;-2.4;;;;;;;;;792.8;78;;;97307;90;;;;;;;;;;;;
BER;01.01.1942 00:00;7.3;2.9;12.3;-2;-1.8;-1.7;;;;;;;;;790.5;77;;;109110;101;;;;;;;;;;;;
BER;01.01.1943 00:00;8.5;4;13.7;-0.8;-0.7;-0.3;;;;;;;;;790.9;77;;;115182;107;;;;;;;;;;;;
BER;01.01.1944 00:00;7.5;3.2;12.3;-1.8;-1.5;-1.7;;;;;;;;;1015.7;99;;;100764;93;;;;;;;;;;;;
BER;01.01.1945 00:00;8.3;3.5;13.7;-1;-1.2;-0.3;;;;;;;;;753;74;;;121500;113;;;;;;;;;;;;
BER;01.01.1946 00:00;8;3.7;13;-1.3;-1;-1;;;;;;;;;971.2;95;;;101873;94;;;;;;;;;;;;
BER;01.01.1947 00:00;9.3;4;14.4;0;-0.7;0.4;;;;;;;;;672.8;66;;;117030;109;;;;;;;;;;;;
BER;01.01.1948 00:00;8.6;3.7;13.5;-0.7;-1;-0.5;;;;;;;;;944.1;92;;;107778;100;;;;;;;;;;;;
BER;01.01.1949 00:00;9;3.8;14.3;-0.3;-0.9;0.3;;;;;;;;;632.8;62;;;127842;119;;;;;;;;;;;;
BER;01.01.1950 00:00;8.7;3.9;13.7;-0.6;-0.8;-0.3;;;;;;;;;1121.8;110;;;110046;102;;;;;;;;;;;;
BER;01.01.1951 00:00;8.2;3.8;12.7;-1.1;-0.9;-1.3;;;;;;;;;1177.9;115;;;96432;89;;;;;;;;;;;;
BER;01.01.1952 00:00;8.3;3.6;13;-1;-1.1;-1;;;;;;;;;1234.1;121;;;107225;99;;;;;;;;;;;;
BER;01.01.1953 00:00;8.1;3.3;13;-1.2;-1.4;-1;;;;;;;;;728.7;71;;;107508;100;;;;;;;;;;;;
BER;01.01.1954 00:00;7.8;3.1;12.4;-1.5;-1.6;-1.6;;;;;;;;;1131.6;111;;;96426;89;;;;;;;;;;;;
BER;01.01.1955 00:00;7.6;3;12.4;-1.7;-1.7;-1.6;;;;;;;;;1089.7;107;;;100277;93;;;;;;;;;;;;
BER;01.01.1956 00:00;6.5;2;11.3;-2.8;-2.7;-2.7;;;;;;;;;1043.7;102;;;103302;96;;;;;;;;;;;;
BER;01.01.1957 00:00;7.9;3.2;13;-1.4;-1.5;-1;;;;;;;;;924.8;91;;;106998;99;;;;;;;;;;;;
BER;01.01.1958 00:00;8;3.6;12.7;-1.3;-1.1;-1.3;;;;;;;;;1102.7;108;;;101003;94;;;;;;;;;;;;
BER;01.01.1959 00:00;8.6;4.1;13.7;-0.7;-0.6;-0.3;9.4;-0.4;27;952.4;-0.2;10;;;914.3;89;;;121284;112;3657.6;66.7;;108;-10.7;30.4;110;39;17;0;3;
BER;01.01.1960 00:00;7.9;3.6;12.6;-1.4;-1.1;-1.4;9.1;-0.7;19;949.6;-3;7;;;1070.4;105;;;106260;99;3800;19.9;;136;-17.1;28.1;102;13;23;0;0;
BER;01.01.1961 00:00;8.9;4.4;13.9;-0.4;-0.3;-0.1;9.9;0.1;18;952.8;0.2;9;;;1002.1;98;;;111348;103;3508.1;54.5;1676.1;126;-11.6;29.6;102;34;18;0;0;
BER;01.01.1962 00:00;7.3;2.6;12.2;-2;-2.1;-1.8;8.6;-1.2;17;952.2;-0.4;7;;;780.5;76;;;116568;108;4260.4;75.8;2292.4;113;-15.6;31.6;140;38;29;0;5;
BER;01.01.1963 00:00;6.8;2.4;11.6;-2.5;-2.3;-2.4;9;-0.8;36;950.7;-1.9;6;;;960.4;94;;;101136;94;4351.9;40.2;2359.9;124;-23.2;30;125;21;54;0;1;
BER;01.01.1964 00:00;8.1;3.6;12.7;-1.2;-1.1;-1.3;9.2;-0.6;19;953.2;0.6;9;;;855.9;84;;;98544;91;3853.2;86.4;2061.2;110;-15;32.1;117;41;38;0;8;
BER;01.01.1965 00:00;7.4;3;11.9;-1.9;-1.7;-2.1;9.1;-0.7;14;950.6;-2;15;;;1371.8;134;;;89310;83;4249.2;42.1;2065.2;166;-13.8;31.8;116;23;17;0;2;
BER;01.01.1966 00:00;8.5;3.9;13.1;-0.8;-0.8;-0.9;9.5;-0.3;13;950.3;-2.3;7;;;1067;104;;;99774;93;3636.3;47.8;1828.3;136;-17.8;31.7;110;29;17;0;2;
BER;01.01.1967 00:00;8.3;3.5;13.3;-1;-1.2;-0.7;9.4;-0.4;22;953;0.4;4;;;852.4;83;;;110538;103;3886;79.7;1926;117;-15.2;30.8;111;34;24;0;2;
BER;01.01.1968 00:00;7.8;3.5;12.4;-1.5;-1.2;-1.6;9.3;-0.5;12;951.1;-1.5;7;;;1150.7;113;;;98748;92;3852.9;48.2;1932.9;136;-17.7;30.9;122;17;27;0;4;
BER;01.01.1969 00:00;7.6;3;12.2;-1.7;-1.7;-1.8;9.3;-0.5;24;950.6;-2;7;;;869;85;;;100782;93;4112.9;71.6;2112.9;125;-13.3;29.9;126;32;41;0;0;
BER;01.01.1970 00:00;7.7;3.2;12.2;-1.6;-1.5;-1.8;9.3;-0.5;21;951.6;-1;8;;;1059.1;104;;;95202;88;4067.1;67.3;2139.1;143;-14.1;31.4;128;29;30;0;1;0
BER;01.01.1971 00:00;7.7;3.1;12.7;-1.6;-1.6;-1.3;9.3;-0.5;24;952.4;-0.2;6;;;898.7;88;;;116688;108;3980.3;71;2124.3;93;-18;30.9;129;35;31;0;2;0
BER;01.01.1972 00:00;7.5;3.1;12.1;-1.8;-1.6;-1.9;8.8;-1;32;951.6;-1;6;;;901;88;;;93732;87;4176.9;36.6;2040.9;113;-9.9;29.2;113;19;26;0;0;0
BER;01.01.1973 00:00;7.6;3.3;12.2;-1.7;-1.4;-1.8;9.2;-0.6;26;953.7;1.1;8;;;950.3;93;;;98292;91;4082.5;73.8;2194.5;107;-15.9;29.4;148;37;26;0;0;0
BER;01.01.1974 00:00;8.4;4;12.8;-0.9;-0.7;-1.2;9.2;-0.6;18;951.5;-1.1;7;;;929.4;91;;;91200;85;3820.6;54.5;1820.6;137;-6.1;32.5;96;22;2;0;3;0
